text,label
"avid: cool, thanks!",7
"alternatively, maybe the second column could be '''country of origin''' and rosen could simply be denoted usa/poland, while pillsbury would be usa/usa, without his us state being mentioned - it would be less confusing i think.",4
what license do you release it under?,4
what do you think?,4
"please provide a more detailed example, because i don't understand what you mean by concatenating objects.",3
could you please list the username you would want now?,4
could you please explain more about the plotting idea?,3
will that work?,0
"so just to clarify then, you are happy with the number of references, but you just need me to convert each of them into ref/footnote format, and then the article is ga-ready, is that correct?",1
"sarnold it shows 
number of input = 22936722 49.can anyone rationalise this strangeness?",4
"jeff3000, thanks a lot for your help with the article.",7
thanks for the help!,7
"hello, ruben; welcome on _drupal answers_.",1
is it possible that it could be a passenger issue?,4
"on another subject, have you finished the books i suggested?",4
this is helpful for automatized transfer scripts.,0
"just out of interest, are you by any chance the same tom walker who maintains this <url>?",0
"thanks, firstly, for the affirmation and work on <url>; it was yesterday's featured article!",7
are you planning on integrating them into the article sometime soon?,0
"sorry, i was wondering if the are related to each other or separate organizations?",6
"some prof once told me that 1n400x's are all made the same, just graded differently based on how they turn out.",1
"very strange, maybe some conflict with libraries or plugins in safari only?",4
"also, what format is the date in?",0
would you mind referencing them to conform with wiki-policy?,4
can we change it to dogs?,6
could you create a canadian one?,3
where did you find it?,4
"hahah, thanks!",7
how do you like this closer crop?,4
thanks for adding the wsl windmill picture.,7
thank you for your wikignome-like edits.,7
is there a specific roadblock you're encountering?,3
that's good news.,0
is there anything else other than a copyedit that you need for this article?,4
can you give an example of what you mean or are trying to achieve?,3
"i hope i don't upset anyone by jumping in univited, but why are self-created images any different than those found elsewhere so long as they comply with all of the non-free content criteria?",6
thanks for the response.,7
"sorry, but do not have the time to change all.",1
"that's ok &mdash; i just wondered if you had a new translation that used ""on"".",5
"describe more what this actions do, maybe you can replace them with observer class or delayed_job?",4
"i'd be shocked if no one has asked you this yet, but you do an enormous amount of work keeping the bio articles free of vandalism and nonsense as well as filling them up with useful content ;) you seem like you could use a few extra buttons on your toolbar.",4
since this question came up - do we have figures on which is faster and by *how much* ?,6
"so, to conclude, it should be acceptable for the beginning to have only one scenegraph, that would contain all the objects in the scene.",1
http://staff.washington.edu/dushaw/gps/gettracks.awk is that checksum function what you are looking for?,1
i edited it :) hey are you personally good at image processing in matlab ?,0
is there any real world current sources?,3
"sorry, i've moved a number of articles and thought i did it correctly.",1
thanks.,7
can you post the benchmark code to see how you are measuring this?,3
"on a related note, i went through your recent article-work, and saw nothing wrong with your contributions.",0
"so there's exactly one line in both files per chromosome number, and you want to compare only lines with the same chromosome number?",3
is it popular open source web application?,3
could you possibly expand on the difference between fluorescent and reflective clothing?,4
"+1 for ""because i'm lazy..."".",1
i don't get your question to be honest.,3
i'm actually still stucked...,3
"also, since there's at least two ways to do pretty much anything, how would you know if they are right or not?",4
"could you be more specific as to what you are specifying as ""the claim"" so that i may find relevant information to refute?",3
have you tried chmod?,4
"thanks for the heads up, i don't think they will succeed but it's good to know they're planning it.",7
"can you please try to clean-up your question if you want anybody to figure out what your problem may be (use `edit` button, use `code` tags).",4
is this not what you're talking about?,3
what was wrong with postaffiliate?,0
"if it is, can you help me process this image?",7
"thanks for voting, even though you didn't support.",7
or is this the meaning of community wiki already?,3
do you think you could do the same for <url> and <url>?,4
"sorry, i understand, the bot has just moved the category of the sub-cat, not merged it.",1
how are you calculating your total number of nodes?,1
thanks for the response.,7
"can you clarify the question, please?",3
can you paste the code snippet in the problem?,3
"and which part of that are you have trouble with, exactly?",3
could it be possible to export the annotations from a tagged pdf and then use this to make changes to my original latex sources?,3
would you be against adding an image illustrating the 4 protagonist dinosaurs?,4
how do you fix that?,4
"great- so bump up to around ten selected pictures (selective choices, obviously) and then you feel it is ready for fpoc?",1
can you please let me know why is it so?,3
"i modified it a bit, possibly vote to reopen?",4
"this was a much more interesting question than ""how do you make a positive number negative in c#?""",4
thanks for your reply.,7
is there anything i can do?,4
"david: by the way, i hate to state the obvious, but just looking at the regions you selected in your graph, it looks like you chose the area in the lowest quartile.",6
"you might want to specify what language you're trying to do the parsing in - if in c, c#, javascript.",4
perhaps you could explain why you believe that these *should* be related?,4
right now the second part of (1) involves the second derivative of theta with respect to theta...should one of those thetas be a y?,6
why medium-well is not properly cooked?,1
is the `.linkquantite` element a child of the `<tr>` element?,0
thanks for the ce's on attachment therapy.,7
can you add just the source of that div html to your question?,3
would you agree that this is an equivalent problem?,4
thanks for your comment.,7
for the given input what is your desired output?,3
"hello arosboro, and welcome on _drupal answers_.",1
are you just asking how to invoke an instance's methods?,5
can you tell me where you found it?,3
what operating system are you running designer on?,0
i saw you put images for the kings of bhutan and thank you.,7
"i remember wondering the same thing a long time ago, so i figured, ""why not""?",2
can you tell me how?,3
do you have a cast iron waffle iron?,4
"sorry, yeah, that's what my file looks like.",1
didn't yours?,1
is there anything else in specific you would like to know about the selecting coffee beans for roasting?,4
"i found <url> while working <url> from <url>, my first impulse was to give it a prod, an long unreferenced orphan without a clear reason to exist.",0
"that's a good idea, and then use default parameter window = null?",1
you could serialize python objects to files and then load them.,4
"hi, i'd like to help you with the image you just uploaded to the <url> article.",2
could you perhaps also drop a note on his talk page asking him to stop?,4
would you mind posting a link to that json data?,4
maybe it's right after a long weekend?,4
"i was thinking that it would be appropriate to <url> <url> for the front page on april 16th, 2008, the one-year anniversary of the event.",6
"depends, do you want it to actually respond to commands?",4
http://en.wikipedia.org/wiki/comparison_of_revision_control_software is a great comparison table for exactly this.,3
"i just thought that it is nice when you are looking for rq that you can find an algorithm that will do rq, not qr.",5
do you know or do you know anyone that knows anything about the <url> or the <url>?,4
would you like to collaborate on another section of this list?,4
"in any case, you could crash at our place?",4
where do you suggest that i post the citation?,4
any idea on price?,0
how do you pass the design into jasper?,4
"if so, would it be alright if i posted some photo requests of some parish high schools?",4
please add some clarification: do you have a string and you want to know if the string contains a valid double such as 2.56?,4
thanks for providing the ipa of <url>.,7
you may want to define efficient/clean.,0
do we even know if they are numbers or could they be arbitrary elements?,6
"sorry about that, clicked on that box without thinking.",1
"after all, what's the point of acquiring knowledge about a process if i don't use that knowledge to help others?",0
i got the page fixed.,1
(align both relation symbols and equation numbers)?,1
"maybe twinkle uses, or behaves like, rollback?",4
"it's unclear to me what you mean with ""rule engine"" in your question.",1
"if i may ask, what else do you need?",4
thanks for your edits to the lems article a couple of days back.,7
can you provide a simple test file (with valid referenced svg) showing this problem?,3
try both and see which one is faster?,0
"hi johnuniq, thank you for your edit.",7
can you fix this please?,3
does this answer your question?,0
do you have an opinion as to whether they would be worth adding to <url>?,4
"what if we wanted ""multiples of four and nine""?",6
"thank you for removing the ""speedy deletion"" from my post.",7
is it an alternate account?,3
do you get any kind of error message or exception?,4
how have you been?,4
what are the sources for region 4 (australia) release dates?,0
that is awesome!,0
"can you, or do you know someone who can, fix it?",4
where is it listed please?,3
can i use a manga image colored by myself?,3
"if you only want a finite number n of oracles, you could define an n-in-1 compound oracle by using the first log(n) bits of the compound oracle to indicate which suboracle you wish to query.",4
the question is ambiguous.,0
what do you think?,4
"if you can remember, would you mind giving a bit more information about this photo e.g.",4
"did you try those links, or did you somehow try to use the link you gave as though it was the repository?",4
can you build the string with these bind variables explicitly mentioned?,3
can you please restore the history for gfdl purposes?,3
wondering if we should look at applying it almost universally for medical pages?,6
"(i've left out the thermistor and heater to keep the diagram simple, i can put them in if you think them important) is the diagram ok i do you think it needs any changes?",6
"sorry for the late reply, but i usually check new additions from the bottom of the page, not the top.",1
i edited a couple of things and added a few images..could you reply your opinion please?,4
"and also, please see my added question ""do i have to know about escher and bach?""",3
"sorry if this is obvious, but what is `dn`?",1
and the output itself?,0
do you disagree with this reasoning?.,4
is it small enough to assume that the surface can be considered as flat or do you need spherical geometry?,4
thanks for protecting this.,7
thanks for the help on the sides of leather question.,7
"well, with 4000 open files it also gets stuck, though later on, at around line 10000, and then it progresses, though much more slowly.",1
should you have a space before the `\.html`?,3
"please post the important parts of what you have now, and what you're having trouble with.",3
can you change the script so that it writes to a file when complete?,3
thank you for the enjoyable debate :)  should we just agree to disagree for now?,7
many thanks.,7
"hey, i just went ahead and reverted <url>.",5
would you accept the nomination if i did?,4
could you clarify what you mean by #4?,3
mike: could you edit the title of this question to be more descriptive?,3
could you please clarify this?,3
can you clarify?,3
thanks for telling me.,7
"if so, how did it work out for you?",0
"while the page was still present, someone opened an <url>...could you please close it?",4
would you like me to run one or both of them?,4
"to answer your last question, you want to use `extern ""c""` to prevent the name-mangling.",1
"as an aside, do you do a lot of maintenance programming... on your own code?",4
what kind of processing will you perform?,4
how could i contact you?,4
please clarify something for me.,3
(1) thanks for the explanation that the verb “section” here is indeed an abbreviation.,7
kinda curious how this blanking is always done by ips that trace back to usaf installations isn't it?,1
maybe consider doing this for some other se sites?,4
what is it supposed to output?,3
"even if i specify a file to vim in my program (using the backticks), it stills going to start in a subshell.",0
is your column `ole object` type?,3
i'd have to build some ui based on some javascript library and then some custom php integration to save the preferences in drupal database then?,1
can someone migrate it please?,6
do you think it is possible it just is the limit screws?,6
i'd think the issue is that the tabs are starting from different column numbers because of longer and shorter filenames.,1
which part of the task are you having trouble with?,0
where is the object created?,0
|} thanks!,7
are you aware of any country that got special praise for the selection of images in the article?,0
can you show me the first part of the packages file it creates?,3
is this something that's better done with a templatecontext?,3
please clarify the scenario please.,3
or generalisations in the sense that feasible solutions are also some kind of generalisations or relaxations of matchings (something like independent sets or fractional matchings)?,4
:-) do you have specific examples?,4
any mechanical engineer types out there got a good explanation?,1
how exactly does one reproduce the problem?,3
did they add and check in or just add?,5
do you have a constructor defined for your class?,4
i'm glad you're pleased with the general appearance.,3
i wonder whether you could point me to a source for more information on this incident?,4
"i actually went to the long term abuse page right now, and tried to block them, but it seems that those accounts don't exist.",6
"are you inserting this into an existing document, or creating a new one consisting of just the image?",1
"thanks for readjusting the <url> remarks on stationsby - i must confess i'm not that much into danish history, so my edit contained some guesswork... thanks for correcting me.",7
if the array was of ints and you wanted to know if half were single digits?,0
could you share your opinion about the performance?,3
could you confirm the problem is solved?,3
"sorry for the delay :/ when you say ""overridden using filters,"" what do you mean exactly?",4
"but i'm just curious - why was the link to the article for ""advent of divine justice"" deleted?",1
what do you think?,4
problem description has only inputs defined not what the program is supposed to solve.,0
"or is the question why you aren't getting that node id in the ""second"" method?",1
"i just tried this bc i was thinking along the same lines but for some reason when i implement with my data1.csv file it makes no difference, i think it is because of userid numbering and lettering.",6
can you please provide a simple sample haml file and the output you want to get?,3
did you mean ef 70-200 f/4 l or ef-s 18-200 f/3.5-5.6?,4
do you have any informaytion on <url> and artists associated with <url>?,4
thanks!,7
would u please provide me with modification instructions?,3
many thanks.,7
could that data structure have size o(n) of the original list?,0
would you be interested in a javascript solution?,4
can you have a look at it?,3
can you post that log?,3
done.,0
"you know, cover the major discoveries, describe the evolution of the field... or is that too likely to hit problems?",4
thanks for <url>.,7
what do you think about creating a template for convoys and a list of convoys?,4
"i am not sure, its a google interview question, i saw it initially at http://www.careercup.com/question?id=7263132 ....",0
sriram : yup i will think of it on a small scale first ..then perhaps later will look into the bigger picture :-) ..thanks for ur suggestions !!,7
"what do you mean by ""like this""?",4
"also is with the referencing, the page is now a total mess, is there a way that could be sorted out, i would be very thankful if you could help?",4
"would you have any suggestions on editors who would be interested in this field, or who might have experience with fa reviews?",4
what would you suggest doing about this?,4
"by the way, did i get the location tag right on <url> :-) ?",4
thanks for that - very nicely commented code (rare to see)!,7
"i hope it's allright if i move it to my front page, at least when the talk has to be archived?",4
have you checked the vents on the roof?,4
could you give more detail on the scan line approach?,3
why not in refrigerator?,2
is it feasible to get another gpu (a cheap one for display maybe)?,4
i am looking for help improving the dermatology content on wikipedia.,0
"any prefered language or do you want a ""pure"" algorithm?",4
"""pyparsing"" appears to be a word specific to python.",1
it might be good to give some more context: what kind of computer?,4
your question is phrased badly as it is both a double-negative and infers that we can read your mind.,6
have you asked any other iranian members?,4
someone has moved this article to <url>.,1
can you post some code?,3
thanks for the cleanup.,7
"i think i may have mis-understood you point, are you saying that i can only revert three times if its vandalism, or that my edits were vandalims?",4
i don't understand how a folder-based file system is not a hierarchical system.,0
do you think i should put <url> gan on hold or fail it?,4
thanks a lot!,7
"essentially the question is, how can one detect when five different combinations have occurred?",6
i don't understand your question.,0
"how do you think, is <url> of fl quality?",4
will one swap and then the other swap with the one it didn't intend to?,6
thank you for deleting the attack page i tagged.,7
why did you delink the songs and weird al's album?,4
"rob fox, thanks!",7
you think you could help me with it?,7
can you specify how the automated build tool invokes the click event?,3
ps i am planning on starting an article on ''<url>'' (<url>).,0
"if so, could you use a bent-nose pliers to straighten the track?",4
how do you define minimal?,4
you say we are given a set **s**.,6
maybe we could do a collab for an article related to thalia (once i'm finished with some work)?,6
"i'm sorry, but i'm really struggling to understand what the problem is.",6
"i noticed that you did some work on this article, and would like to expand it to include his recommendation (in ''can life prevail'') that the un develop hit squads to target large urban population centers (with neutron bombs as i recall), and also the discussion on the 9/11 terrorists being ""superior moral human beings"" for their actions.",1
can you help?,3
would you mind popping over and giving a word or two of encouragement?,4
would you like to know how to use it?,4
thank you for reverting vandalism on my page.,7
"this question seems only peripherally related to the python language, so perhaps that tag should be replaced?",4
thanks for the alert.,7
"could you get yours to me by tomorrow, either via the page for the meetup, my talk page or an e-mail?",3
"anyway, are you trying to get a second machine to process the data for redundancy or for more throughput?",4
did you dig wayback / cache to check?,4
hi kathleen - it looks ok to me; all i did was change the template wording a bit and add parent cats to the stub category.,0
"understood, been there.",0
where can i look at that source?,3
do you want the background image to change only when you hover over the corners?,4
can you define butter spread for us?,3
"hello, thank you for adding interesting content to <url> <url>.",7
maybe `keytool` can be used instead?,4
"thank you, it's much appreciated.",7
do you need me to email it to you?,4
would it be possible to wrap it in jython somehow to make it a java applet using the code i wrote?,3
"i'm starting to feel that the problem arises with interactionpointdata, since this method does not own it.",0
and do the files contain the same keys?,0
perhaps you could make a request to the arbitration committee?,4
what errors are you getting when it crashes?,0
"i don't know about eclipse, but visual studio puts it on the right-button menu.",1
"may i recommend undoing the merge for now, re-opening the discussion, and seeking wider input at the relatively large number of wikiprojects that handle those articles?",3
"my end goal is to get a list of rows with unique data (as determined by a combination of 3 cells in a row); however, i need all the cells of the unique rows.",0
"since no third-party app knows about any other, what possible touch-up of ""reverse"" are you doing?",1
"if those are divisions used by elections bc i guess that's what it is, though....i can make some additions to various pages describing the changes relating to ridings they're made out of and waht areas are in/out in each case.....and since the districts were created in 2008, shouldn't hte title say that instead of 2009?",4
what do you need help with?,4
how many lists would you prefer?,4
"ok, then your own code seems cleanest.",6
i have responded to the issues you raised in <url> - could you please review my replies and let me know if you're satisfied?,4
"are we talking sas, spss, stata, splus, minitab, r, ... ?",6
would you care to <url>?,4
"i don't suppose you could put copyright and source information on those images, though?",5
would you please update your question with a more specific directory structure and which http error codes are returning for which files in that structure?,4
"it's fine if we just make a section about rq in the qr article, is that ok with you?",6
is there only one assembly?,3
"thanks for the advice but that's why i remove the ""thank you for your contributions"" on the welcoming template.",7
"do you want to set it on the grid title (the capture layer), on the column headers or replace only the sorting images in the column header (see the pictures [here](http://www.trirand.com/jqgridwiki/doku.php?id=wiki:how_it_works))?",4
sorry for not replying sooner.,1
"thanks for the detailed answer, that's really helpful.",7
"mk one day, promise?",0
"what have you tried, and what error/behavior did it give?",4
thanks for adding that pmc= support to <url>.,7
"well, welcome, and thanks for helping out, as you can see it's greatly needed.",7
it doesn't seem that simply moving your views into separate modules would work?,4
could you please give an example of the action names .,3
depends on your preference.,0
"also perhaps we should set up a subpage for these discussions, so we'll have the thread completely on one page?",6
are you sure?,0
can you post one of your functions that fails to modify the_content?,3
so the guys here who are trying to answer your question and spending their own time don't understand the situation?,1
":) well, what is solution for safe managing lua_state*?",1
"yes, but is ""getting away"" with it the best choice?",1
that was a nice pic you put up in the civil war article.,0
have you confirmed suds works with external imports?,4
"what's your latitude, longitude, date and timezone...?",0
is it an ordered list?,3
"what exactly do you mean by ""bug""?",4
is the image an animated gif which finishes in less than a second?,1
"(are these a large number of existing posts, or are you designing a system for posts to be added in the future?)",1
"yeah, thank you so much.",7
"regarding comment on ""length of performance reviews"" section - the intention here is to provide support for the statement in the biography that ""latsabidze is already regarded by many as one of the more significant performers of his generation"".",1
can you send a couple of pictures?,3
would you agree?,4
have you found the answer for your question?,4
"regarding <url>, <url>, <url>, <url>, <url> and <url>, may i redirect them?",3
iphone/ipad or mac in general?,0
"you are both editors of between 1 and 2 years experience here, so perhaps a bit better communications would be a better approach in future?",4
good work maintaining the tibet page i seems to getting an increasing amount of traffic!!!,1
"hmm it's a ""promo"" block that displays a picture with text underneath it on the left sidebar, on every page.",1
"to be honest, i'm not sure - the decision say ""remove individuals and organizations"" but it also said ""per blp"" and abascal is deceased.",3
how do you sync the flash?,4
isn't it better to use the appropriate `select` query to get already sorted bugs out of the database?,1
"please,what do i do about this?",3
"and what do you mean by the ""counting of topological sorts""?",4
"thanks for offer of help on irc - terminology completely baffling to me (not helped by freenode instructions written as if translated through several languages into final english) - just which channel are admins supposed to log into, and how does one register when it seems by invitation only.",7
"if so, could you explain why?",4
but how can i distinguish between other borders that the image contains?,3
"i think this deserves its own article, as opposed to being in the centrifugal one.",0
"your second parameter is `'show'`, but shouldn't it be the function you are adding or removing?",0
"also you talk about ""similarity"" - but are you after a precise pattern match or an approximate one?",1
"kdoto- i think it is, since i think i came up with one possible implementation.",0
"it seems if i change property (nonatomic, copy) nsmutablearray *blockviews, to retain, the error goes away.",0
"hm, can one award a bounty to a ""question""?",6
"ah, thanks!",7
i just saw that after i left this message to you.,5
would you be interested in helping me to expand <url>?,4
confused.,0
"you seem to know a lot about them, could you please help out?",4
"the best os to do arduino development on, or the best os to run on your arduino (a la freertos)?",0
"if there are none, in two days, do you mind if i move that page and start the new categorization page/discussion?",4
can you help?,3
we probably need to see your code or at least get some more information on what is not working.,6
could you help answer a question (<url>) at the reference desk related to the picture?,3
any ideas why this might be happening?,4
how is this not a real question?,3
why would you not post it as an answer?,4
can you provide an example of what `array` could be?,4
"in the ""usna"" section or the ""hispanic alumni section""?",1
great question.,1
why is it an html file?,3
at what point in this process did you discover the mbp was unplugged?,4
thanks.,7
could there be an optional output for how it is printed?,3
thank you.,7
"sorry, i can't see it.",1
just read somewhere that maybe i should be using a constant iterator?,4
"i'm having a bad night, and all the theading... anyway, did i get them all?",4
are you trying to simulate how it would look if someone pointed an ordinary movie projector at this surface?,4
shall we discuss it on the article's talk page so that any comments are in the relevent place?,6
is it an option to generate tickets as needed using keytabs?,3
"maybe you could post a sample of the code that works properly, and the code that doesn't?",4
could you please provide a rationale tag for this image?,3
"would it realistically report 13:00, 14:00, 13:30 for a given user?",3
is there a way to change this?,3
"hello, picxelplay; welcome on _drupal answers_.",1
is the output exactly `<%= debug articles %>` or is the output actually a yaml formated object?,3
"hi, thanks a lot for all your responses.",7
to which drupal version are you interested?,1
i read your publication and enjoyed seeing the relationship between activeness and chance of success to become an admin.,0
do you think it's ready for a-class review?,4
"can you please narrow it down, as per zenbike and daniel's comments?",3
"the original question asker gets to decide who answers the question, though, and can then just select his or her own answer, right?",0
"is this permanent, or are you just passing through?",3
so far so good?,1
have you taken calculus?,4
how large is your triangle likely to be?,4
any thoughts on what we should do with this?,6
"ww - hey, good work on the new pages that you've added in the last couple of days (5-6 isn't it?).",1
please could show the variant with alignat* too?,4
"i think it is a great idea to merge my geraldine jones article to the flip wilson show article, but i don't know how to do that.",1
can you show what you're written so far?,3
what is a good way to maintain only one copy of each logfile?,1
can you check ie permissions please?,3
it's larger now than the sub-stub previously deleted.,0
"i never use a garlic press (just another thing to clean, when i can crush it with the side of my knife), but they can make play-doh hair (or really small noodles?)",5
"hi steph - this would be a fine article, but its already pretty fleshed out - do you have a specific sub-topic regarding propaganda films that you'd like to write about?",4
pizza powder?,0
"i don't understand what you mean by ""random oracles, which are non-recursive sets.""",1
perhaps also a bit of information about the parameters to `field()` would help.,0
i presume you're using php as an apache module?,1
i like your question.,0
david sprenkle was at the university of illinois in 1982 (at least part of it) while i was there.,0
are you after a theoretical discussion or is there a specific problem you're trying to solve?,3
splendid work on <url>!,1
what's exactly to be read in the docs you are referring to?,3
a challenge for you!,0
you couldn't find one of john bowlby could you?,5
"however, refs 39 and 40 don't seem to appear anywhere else; could you perhaps replace them with more reliable sources if you get the chance?",4
what do you mean by incrementally?,4
delnan: thank you.,7
what do you think?,4
")* one thing i didn't understand was when you said *""when i open a single page to check post""*; can you be more clear what you meant by *""single page?",3
thanks for your response.,7
what are you optimizing for?,0
do you mean assembly code?,4
do you have any additional tips on improving out article's quality?,4
"if you have the works from which those thoughts are taken, could you add a citation(s) for them?",4
"if an edge connecting the graph to a leaf node is to be deleted, is it assumed to delete the leaf node as well?",3
"yes, i apologize, my friend (i guess i have some kind of a phobia that you will forget about my posts :) ) i will wait as long as you want me to.",4
why don't you post two examples and solicit names?,2
"yes, it is a matter of civility.",1
i've created another question to track the single-speed portion of the question.,0
can you try explaining the issue a bit more thoroughly?,3
"hey jc: i saw you move <url> to <url>, which is great, but i was surprised you didn't fix any of the double redirects that resulted.",0
"crap, i'm sorry, i didn't realize someone was working on it, and it's done now, sorry to get your hopes up.",6
could you please describe in more detail what do you mean?,4
"hi editorofthewiki,  both images are just fine.",0
"you put a ton of work in a feature and only after its almost done you get feedback from the primary consumer, guess what happened?",1
why isn't this a mediawiki gadget ?,2
has that worked well for you?,1
"can you write something about who coined it, references to its usage in popular culture, things of those sorts?",3
i'm not sure what you are reffering to.,3
could you check please?,3
are there any other limitations on a_i?,0
could you be caching things that are only used once?,3
how do you do it presently?,4
i think you might rephrase as 'best upper bounds on sat' ?,4
thanks for change to hugh de grandmesnil - i am (it is) very short of refs for that article.,7
"do you have pa -> jack -> alsa permanently, or do you stop pa while you use jack or ...?",4
thanks!,7
i hope thats okay?,4
thanks for your help with <url>.,7
"have you tried using a fixed size container and adjusting the width, if needed, as part of the animation?",4
can you give an example of sample input and output?,3
would you mind posting your solution as an answer so that other developers can reference it if they run into a similar problem?,4
are there other subpages of yours that you'd like protecting?,4
can you help with the phonetics of other nordic languages?,3
were would you like me to email it to?,4
"that's not the same, is it?",3
"kdoto- i think it is, since i think i came up with one possible implementation.",0
is this caveat hiding in a talk page archive somewhere?,3
how did you find this?,4
"from the edit history to the template, it appears that your last edit has not been undone so hopefully this issue is resolved.",6
"will the actions triggered be ""future_to_published"" and ""publish_post""?",1
"<url> is at it again, adding in the ""in the premiership"" content you & i successfully merged several weeks ago.",1
would you agree with me that international political economy should be capitalised?,4
"when you're previewing the widget, which style are you using?",0
hey thanks for reassessing the <url> article to b class.,7
have they been listed incorrectly?,0
can you post your code please ?,3
there's an alternative to hacking on the source?,0
shane i reverted the edit you made this moring <url> but on second thought i would like some advice.,0
sure!,1
what kind of output are you getting?,4
"what is the desired answer if `dictionary = {""abc"", ""bcd""}` and `word = ""abcd""`?",1
did you need to do anything special to get theme preprocess hooks working?,4
did you ever find a good solution?,4
"just to clarify: do you want your program to be notified of mouse click events so that it can act upon them, or do you want to inject mouse click events into the windowing system?",4
maybe use pastebin or something if it's too much to embed directly in your post?,4
"could you explain,please ?",3
mind if i nominate <url> at <url>?,1
have you looked at nokogiri?,4
or do you also want to change how lighter or darker the top gets?,4
how can you find the node intersection using constant memory?,3
"do you use irc at all, or do you stay on-wiki?",4
"by the way, what do you think of merging the recurring animals in <url> to <url> and then getting rid of the rest?",4
i have no libgl.so(.1) in `/usr/lib` - only in `/usr/lib/mesa` and `/usr/lib/nvidia-current`.,0
i object to the use of cats in the described manner.,0
sounds good to me.,1
"i just emailed a united kingdom professor, intending to email a university of kentucky professor.",5
any chance the wire between the switch and the ceiling is 2000ft.,0
ring0: good idea !,1
thanks for approving my request.,7
thanks very much indeed!,7
thanks for the quick response.,7
ozan asks a good question below.,1
for algorithms to do some kind of transitions?,4
would you mind posting your code to see areas for improvement?,4
thank you for the links and the explanation.,7
"it shouldn't be that hard to find info, or images, but i already have them, so if i give you this stuff, perhaps could you do it?",4
*user1147* i edited your question heavily to try to make it more clear *(please review to make sure i didn't change the meaning.,3
(2) you would like to make sure that all latex users can compile your document without installing additional packages?,4
or do we need to build throttling into our api?,6
"can you post it as a question, for us to solve the incompatibility?",3
"you mention cgimagecreate, can you include a url?",3
does anyone have an idea why ?,4
"there are already plenty of reasonably commonplace words presented in answers, but (slipping into 'armchair philologist' mode) i can't help wondering if the process of 'word-sharing' between languages is skewed more towards *importing* rather than *exporting* in the case of far eastern languages.",1
please clarify your question a bit.,3
would you show me a better way to do this?,4
"he may not be the gray rabbit that we recognize, but he is supposed to be bugs in prototype form, right?",6
please can you give me a little bit more details about 'creating a custom admin page that allows the user to add static sections via ajax with links to their edit pages' (if there's no static content menu in which other ways the user can create the content)?,3
is there a particular book you would recommend to get started with molecular gastronomy?,4
did you choose the pictures yourself?,4
"please, give some more information.",3
i have never seen anything which says that warning levels should begin anew each day.,4
"is 5,1,4,1 allowed if r=2 ?",0
"<url> says that warning templates ""are listed at right in order of severity, but need not be used in succession.""",1
sklivvz: we could exclude time travel by considering two copies of the universe and asking if two identical atoms would decay simultaneously.,6
