,Unnamed: 0,Sentence,label,super_strategy_patricia,Yann,S_Strat_Yann,annotation_patricia,AA,Vote
22,22,"Yeah, it's difficult to tell what the columns mean from their names.",d_06,1,d_06,1,1,1,1
23,23,Can you add more explanation of how the tables fit together?,d_11,3,d_11,3,3,3,3
24,24,Do they all have the same size and orientation ?,0,0,0,0,0,4,0
25,25,Can you pivote them or should they conserve both proportion and orientation ?,d_11,3,d_12,4,3,3,3
26,26,Thanks for continuing to look over the article.,d_110,7,d_110,7,7,7,7
27,27,Do you know or do you know anyone that knows anything about the <url> or the <url>?,d_12,4,d_12,4,3,3,3
28,28,"Elkman, there are other ways to take a Wikibreak.",0,0,d_04,1,0,0,0
29,29,Can I help?,d_11,3,d_010,2,2,2,3
30,30,`ps -ef` shows all foreground processes for me.,0,0,0,0,0,0,0
31,31,Which OS are you running on?,0,0,0,0,0,0,0
32,32,"Hi David, you're good with images.",d_01,1,d_01,1,1,1,1
33,33,Anything you can do to clean up <url> so it's useful on ITN?,0,0,d_12,4,5,5,5
34,34,"For those of us who aren't specifically familiar with `sendmail`, it might help if you post a more complete set of log lines, and describe exactly what details you're paying attention to when you do this manually.",d_12,4,d_13,4,2,2,2
35,35,"For example, in the line you've posted, is `p937blksdh3` the message-id?",0,0,0,0,0,4,0
36,36,"I believe you beat me to several vandalism reverts the other night, so I  thought I'd give you this.",0,0,0,0,4,4,4
37,37,"We could all use more, right?",d_17,6,d_012,2,4,4,4
38,38,"Hi, thanks for unprotecting the <url> article.",d_110,7,d_01,7,2,7,7
39,39,Could you also unprotect <url> so a redirect can be created?,d_11,3,d_12,5,2,2,2
40,40,"Hi, I wanted to ask what do you follow to create redirects on this <url>?",d_17,6,d_110,7,6,6,6
41,41,?,0,0,0,0,0,0,0
42,42,The plane of the X will always be parallel to the plane of the image I assume?,d_06,1,d_12,5,5,5,5
43,43,So no perspective distortion of the X?,d_06,1,d_05,1,3,3,4
44,44,I started on it.,0,0,0,0,0,0,0
45,45,Do you more info on the last article on the list of references?,d_12,4,d_12,4,3,3,3
46,46,"I don't follow you I was not aware that my edits were vandalism, I was editing according to what had (it appeared to me) been agreed on the talk page, but additional material had been inserted (that had not been agreed upon)  that esentialy said the same thing (and was not supported by the sources) that had caused the origioanl disagrement.",d_04,1,d_06,1,4,4,4
47,47,"I think I may have mis-understood you point, are you saying that I can only revert three times if its vandalism, or that my edits were vandalims?",d_12,4,d_06,1,4,4,4
48,48,Can you elaborate?,d_11,3,d_11,3,3,3,4
49,49,An example maybe?,d_12,4,d_12,4,4,4,4
50,50,"If I have a simple graph (tree) with 4 nodes: a start node with 3 successors, where rightmost successor is an end node, then all three algorithms (DFS, BFS, ID) will perform better backward than forward.",0,0,0,0,0,0,0
51,51,Correct?,d_05,1,d_05,1,1,1,1
52,52,"@D.W. if thats the case, as I thought, it's not really a security question, is it?",d_11,3,d_11,3,3,3,3
53,53,"And then in addition to image tags and metadata, Lightroom stores a history of *edits* such as color tweaks, crops, and all that.",0,0,,,,,
54,54,Where are those stored?,0,0,,,,,
55,55,What have you tried?,d_12,4,,,,,
56,56,What are the difficulties you encounter?,0,0,,,,,
57,57,"Generally, I'd anticipate a code bug.",0,0,,,,,
58,58,Can you paste in your FD_SET and your select calls please?,d_11,3,,,,,
59,59,"@mpiktas, sorry, could you clarify?",d_12,4,,,,,
60,60,A link to some kind of work illustrating what?,d_12,4,,,,,
61,61,"@Rob Fox, thanks!",d_110,7,,,,,
62,62,"BTW, why won't you post it as an answer?",d_013,2,,,,,
63,63,;),0,0,,,,,
64,64,"Thanks for your help on this, it's much appreciated.",d_110,7,,,,,
65,65,Should I delete my request for checkuser?,0,0,,,,,
66,66,"The reason for using ""Please try not to eat the semicolon"" was simply because I couldn't come up with a better example.",d_12,4,,,,,
67,67,Would there be any difference if it was related?,d_11,3,,,,,
68,68,I really like the template you used at <url> but it dosen't seem to exist on the  WP:Vandalism page.,0,0,,,,,
69,69,Where can I grab it?,d_11,3,,,,,
70,70,"This might be a Facebook issue, but it might also be an issue with how your code is prepping the image to be sent.",d_12,4,,,,,
71,71,Can you share your code that reads the image (form your server) and calls the Facebook SDK?,d_11,3,,,,,
72,72,Seems very similar to http://security.stackexchange.com/questions/1634/which-instant-messaging-services-use-or-allow-secure-protocols-and-what-do-those - but there may be a slightly different goal here.,0,0,,,,,
73,73,"@LanceBaynes - Could you elaborate a bit, particularly in a way that distinguishes this question from the other?",d_12,4,,,,,
74,74,"We have a <url> page on <url> which, we suspect, may be in Slovenian.",d_17,6,,,,,
75,75,"Could you have a look at it (whether it is Slovenian and, if so, whether it is worth translating)?",d_11,3,,,,,
76,76,do they have to be executables?,0,0,,,,,
77,77,"what about MEF and doing the apps as plugins for the ""launcher""?",d_07,1,,,,,
78,78,"Nice work, that explains it quite clearly!",0,0,,,,,
79,79,Any idea who came up with the scheme?,0,0,,,,,
80,80,"Thanks for readjusting the <url> remarks on stationsby - I must confess I'm not that much into Danish history, so my edit contained some guesswork... thanks for correcting me.",d_110,7,,,,,
81,81,"Do I understand correctly that a Stationsby would not be the station that originaly is intended for a town further away, around which then a new town grows up?",d_12,4,,,,,
82,82,"are you on a linux/unix machine, maybe using cygwin?",d_12,4,,,,,
83,83,"then have you tried the ""file"" command on a file?",d_12,4,,,,,
84,84,"Hope that you don't mind, I modified your comment in the Craig intro, using a nice new template that I found.",0,0,,,,,
85,85,Check it out: what do you think?,d_12,4,,,,,
86,86,"Greetings, and thank you for your cogent remarks at <url>.",d_110,7,,,,,
87,87,Would you be interested in voting in the straw poll <url> as well?,d_12,4,,,,,
88,88,We don't have master switches for stoves in the US.,d_17,6,,,,,
89,89,Could you explain how this works?,d_11,3,,,,,
90,90,What is your photo Column defined as?,d_11,3,,,,,
91,91,can you provide the table create stmt?,d_11,3,,,,,
92,92,"I actually went to the long term abuse page right now, and tried to block them, but it seems that those accounts don't exist.",d_17,6,,,,,
93,93,Have they been listed incorrectly?,0,0,,,,,
94,94,"how are the arrays of characters ""combined"".",d_07,1,,,,,
95,95,Can you give a few example result strings or pseudocode?,d_11,3,,,,,
96,96,You have listed it as no source but the author asserts own work.,0,0,,,,,
97,97,Could you please clarify this?,d_11,3,,,,,
98,98,"Nice work on <url> - I had been a bit hesitant to put in those other reports, but now it looks great.",0,0,,,,,
99,99,How did you find out that I created it?,d_12,4,,,,,
100,100,Are the warped spots reachable from the doorway?,0,0,,,,,
101,101,"If so, could you use a bent-nose pliers to straighten the track?",d_12,4,,,,,
102,102,"Just to clarify: Do you want your program to be notified of mouse click events so that it can act upon them, or do you want to inject mouse click events into the windowing system?",d_12,4,,,,,
103,103,And what platform are you on (mac/*nix/Windows/etc)?,0,0,,,,,
104,104,Thanks!,d_110,7,,,,,
105,105,"By the way, have you sent anything to Maggie since you received the email from the photographer?",d_12,4,,,,,
106,106,How are your PC and PS3 connected to the network (i.e.,0,0,,,,,
107,107,wirelessly or via ethernet)?,0,0,,,,,
108,108,"Yeah, I didn't cover the why, but it's a good question.",d_02,1,,,,,
109,109,"Maybe they need to add some kind of searching ""engine"" or something... but where are they going to get one of those?",d_12,4,,,,,
110,110,"I was confused by ""darkhad"" being translated as ""sacred ones"", when the usual translation I know is smith or craftsman (kind of).",d_07,1,,,,,
111,111,Was I at least correct in being confused?,0,0,,,,,
112,112,Hi i asked a related question about just how many pixels android can draw and keep screen refresh speeds up.,d_17,6,,,,,
113,113,Just how many pixles are you drawing on each screeen and how fps are you getting ?,0,0,,,,,
114,114,What's the origin of the data graphed in <url>?,0,0,,,,,
115,115,"The image is used in <url>, which has an in-text cite for solubility characteristics, but could you clarify the source for the graph itself?",d_12,4,,,,,
116,116,"Computer Science classes, always fun times.",0,0,,,,,
117,117,Have you identified the errors above ?,d_12,4,,,,,
118,118,@OMG Ponies: I believe you.,0,0,,,,,
119,119,":)  So, am I misunderstanding that I should be able to access the information from within both tables or am I horribly misunderstanding *how* to set up the tables?",0,0,,,,,
120,120,Sorry for not replying sooner.,d_06,1,,,,,
121,121,What would you like done with your page?,d_12,4,,,,,
122,122,"Hello, thank you for adding interesting content to <url> <url>.",d_110,7,,,,,
123,123,"Are you able to provide <url> that will help the content meet our ""<url>"" standard?",d_07,1,,,,,
124,124,"And after seeing this talk page, I'll also note that there is no difference between scalars in math, physics and computing, those articles should all be merged together.",0,0,,,,,
125,125,:-/ Maybe you'd be interested in doing such a merge?,d_12,4,,,,,
126,126,Sounds good to me.,d_06,1,,,,,
127,127,Shall we have a straw poll on it?,d_17,6,,,,,
128,128,Can you overlap jobs?,d_11,3,,,,,
129,129,"If you have two three-unit jobs and six two-unit jobs, can you run the three-unit jobs sequentially on lane A, three two-unit jobs on B, and three two-unit jobs on C, taking six units of printing time in total?",d_11,3,,,,,
130,130,I don't know if I understand correctly: Do you want to add a new image tag to your div tag?,d_12,4,,,,,
131,131,Where do you have your list?,d_12,4,,,,,
132,132,"Hello, I'm with the project of turning the list <url> hat is the same list in English, but in another language, and more link for azure.",0,0,,,,,
133,133,"I have a problem, <url>, could you help me?",d_110,7,,,,,
134,134,"I could swear that a similar question has been dealt with here, but I can't seem to find it.",d_12,4,,,,,
135,135,Anyone able to?,0,0,,,,,
136,136,I'm currently considering nominating you for adminship at <url>.,0,0,,,,,
137,137,Are you interested?,0,0,,,,,
138,138,"Thanks, was getting worried there for a moment.",d_110,7,,,,,
139,139,Have you though of asking Outriggr for a hand with <url>?,d_12,4,,,,,
140,140,@andrej can you accept [g .,0,0,,,,,
141,141,s answer](http://apple.stackexchange.com/questions/8491/mail-app-and-multiple-copies-of-emails/8580#8580)?,0,0,,,,,
142,142,"Hi again, OK, say we don't go along the lines of Blair will go before the end of 2007; but we list the announced candidates for when Blair does resign (which will inevitably happen at some point).",d_17,6,,,,,
143,143,Do you think this would be any better/more suitable?,d_12,4,,,,,
144,144,Do you disagree with this reasoning?.,d_12,4,,,,,
145,145,"If so, could you explain why?",d_12,4,,,,,
146,146,I'm afraid it's still unclear what you want to do with roomA and roomB.,0,0,,,,,
147,147,Are you trying to list every permuation of the two?,0,0,,,,,
148,148,"Number of articles on South Slavic languages is now pretty high and I'd like to add '''Category:South Slavic languages''' as subcategory to '''Category:Slavic languages''', possibly with subcategories on individual languages.",d_06,1,,,,,
149,149,"The catch is, I don't know how :-) -- could you point me to relevant Wiki links or start the job yourself and let me finish it?",d_12,4,,,,,
150,150,i know this doesn't help your problem but it's another corner case: what if two different cells want to swap with the same one?,d_07,1,,,,,
151,151,will one swap and then the other swap with the one it didn't intend to?,d_17,6,,,,,
152,152,I'm not that familiar with Bezier curves; does this give you what you need to construct them?,0,0,,,,,
153,153,Can you elaborate how to finish it off?,d_11,3,,,,,
154,154,I tried a white map on <url> and a light yellow-pink on <url>.,0,0,,,,,
155,155,Which do you think looks better?,d_12,4,,,,,
156,156,"Nice work so far on your rewrite of ""The One After the Superbowl"".",d_07,1,,,,,
157,157,Are you planning on including info about the Diet Coke fiasco?,0,0,,,,,
158,158,"I find it interesting claim that when using film, size gives any other advantage than resolution.",0,0,,,,,
159,159,"If the emulsion is the same, how can it have more dynamic range?",d_11,3,,,,,
160,160,"Its related to an algorithm for finding unique sets of a given number of items, so I just wanted to know if that had a name or if I was already looking at it.",d_14,5,,,,,
161,161,Is my question still off topic?,0,0,,,,,
162,162,Hi Finell: I have filed an RfC at <url>.,0,0,,,,,
163,163,Could you take a look at this matter and proffer some advice?,d_11,3,,,,,
164,164,What sort of non-Oracle database ?,d_12,4,,,,,
165,165,Is it running on the same machine or over a network ?,d_11,3,,,,,
166,166,Thanks for the poking tip!,d_110,7,,,,,
167,167,How long to cook?,0,0,,,,,
168,168,Nice addition to the <url> article.,0,0,,,,,
169,169,"If you have the works from which those thoughts are taken, could you add a citation(s) for them?",d_12,4,,,,,
170,170,"Perfect, thank you!",d_110,7,,,,,
171,171,Can you help with the phonetics of other Nordic languages?,d_11,3,,,,,
172,172,That's great.,0,0,,,,,
173,173,What's your question?,0,0,,,,,
174,174,Thank you for your kind comment.,d_110,7,,,,,
175,175,Do you have a suggestion where the portals should be placed in the article?,d_12,4,,,,,
176,176,"Hey I saw that you're using Huggle and wanted to try it out, too.",0,0,,,,,
177,177,"I downloaded it, but every time I try to open the program I get the message: CLR error: 80004005.",0,0,,,,,
178,178,The program will now terminate....What can I do to fix the problem?,d_11,3,,,,,
179,179,Thanks for clarifying the article - it looks much better now.,d_110,7,,,,,
180,180,"By the way, is it just me, or does the Trisakti look a bit like the Flag of the Philippines?",d_12,4,,,,,
181,181,Thanks for the alert.,d_110,7,,,,,
182,182,"By the way, how's Granny doing?",d_12,4,,,,,
183,183,It may very well have been a better candidate for a stub rather than a speedy deletion.,d_06,1,,,,,
184,184,"I would rather not talk about this on another users talk page, if you would like to discuss if further could we continue any further posts on <url>?",d_17,6,,,,,
185,185,"Is it ok to use words like: here are some ""good"" or ""recommended"" reliable secondary sources?",d_12,4,,,,,
186,186,Or does that have to be determined by consensus?,0,0,,,,,
187,187,I tried to make some improvements to the article.,0,0,,,,,
188,188,What do you think?,d_12,4,,,,,
189,189,"Please, may I give this 10 upvotes?",d_11,3,,,,,
190,190,Please?,d_11,3,,,,,
191,191,um... sorry... i mean... getting 100 results or 200 results from above search affects page rank or not?,d_11,3,,,,,
192,192,is 200 results better than 100 results in terms of SEO?,0,0,,,,,
193,193,Thanks!,d_110,7,,,,,
194,194,Why not in refrigerator?,d_013,2,,,,,
195,195,Does that do harm?,0,0,,,,,
196,196,"Hello user1293, and welcome on _Drupal Answers_.",d_04,1,,,,,
197,197,To which Drupal version are you interested?,d_04,1,,,,,
198,198,"At the Chicago house article, I think the current state of house music in its birthplace, Chicago, should be added.",0,0,,,,,
199,199,What do you think?,d_12,4,,,,,
200,200,"Sounds similar to this problem: http://cooking.stackexchange.com/questions/6433/why-does-my-velveeta-queso-dip-get-clumpier-the-longer-it-stays-in-the-microwave

I guess Velvetta isn't designed to be microwaved?",d_12,4,,,,,
201,201,Many languages can do this in their standar libraries.,0,0,,,,,
202,202,"Any prefered language or do you want a ""pure"" algorithm?",d_12,4,,,,,
203,203,is there a particular book you would recommend to get started with molecular gastronomy?,d_12,4,,,,,
204,204,"Are you looking only for a count, or are you interested in an algorithm that could also potentially print the permutations?",d_12,4,,,,,
205,205,"In any case, how efficient must this be?",0,0,,,,,
206,206,Hello.,0,0,,,,,
207,207,"I was just wondering, is it really fair to delete an unintentional duplication of a deleted category without a formal CFD submission?",d_17,6,,,,,
208,208,"@chaman, sorry I can't figure out what exactly it is you want.",d_11,3,,,,,
209,209,"Are we talking about the chapter title that only appears once, such as ""1 Introduction"" or do you want to know how to change your heading that appear on every page of the chapter?",d_17,6,,,,,
210,210,"I was in doubt too, but when dealing with such incomprehensible concoctions I prefer to err on the side of BLP caution.",d_014,2,,,,,
211,211,Would you like it userfied?,d_12,4,,,,,
212,212,I do not know how to merge them.,0,0,,,,,
213,213,Are you familiar with the process?,0,0,,,,,
214,214,"Hi, do you mind if I move your hook to go live on 26/27th?",d_12,4,,,,,
215,215,The GLAM WIKI conference could do with being highlighed by a non US/UK hook?,d_12,4,,,,,
216,216,Is `getFreeCrawler()` synchronized?,0,0,,,,,
217,217,In which line does the error occur?,0,0,,,,,
218,218,That is the correct way (AFAIK) for embedding a thumbnail into an RSS feed.,d_06,1,,,,,
219,219,What result are you seeing and what result would you expect?,d_12,4,,,,,
220,220,Thanks for the info but the page is still giving the same warnings.,d_110,7,,,,,
221,221,Any ideas why this might be happening?,d_12,4,,,,,
222,222,"ooops, sorry i re-edited my post.",0,0,,,,,
223,223,can you please validate it with the .xml doc i just posted it ?,d_14,5,,,,,
224,224,"Yes, but not this week as I have university exams.",d_06,1,,,,,
225,225,Perhaps next week (or you want this to be a lead-up story for Earth Day)?,d_12,4,,,,,
226,226,"looks like it's a conflict with the Prototype library, which we introduced in the newer version.",d_17,6,,,,,
227,227,Any ideas how to stringify a json object containing an array under Prototype?,0,0,,,,,
228,228,Take a look **[here](http://diy.stackexchange.com/questions/7908/what-resources-can-teach-me-to-draw-floor-plans-by-hand/7911#7911)**.,0,0,,,,,
229,229,Is that the kind of thing you're after?,d_12,4,,,,,
230,230,"Thanks, I tried to do that but don't know how to do it?",d_110,7,,,,,
231,231,Can you help?,d_11,3,,,,,
232,232,That sounds fine.,0,0,,,,,
233,233,"When does the drive end: at the start of August 13 or at the end, and according to which timezone?",0,0,,,,,
234,234,"You said ""Error while trying to..."".",d_07,1,,,,,
235,235,What was the exact error?,0,0,,,,,
236,236,*@user1147* I edited your question heavily to try to make it more clear *(please review to make sure I didn't change the meaning.,d_11,3,,,,,
237,237,")* One thing I didn't understand was when you said *""when I open a single page to check post""*; can you be more clear what you meant by *""single page?",d_11,3,,,,,
238,238,"""*",0,0,,,,,
239,239,Does this answer your question?,0,0,,,,,
240,240,"http://stats.stackexchange.com/questions/6181/can-the-multiple-linear-correlation-coefficient-be-negative  If not, then please provide more information: this is the ""SPSS output"" of what procedure?",d_11,3,,,,,
241,241,"Hi Johnuniq, thank you for your edit.",d_110,7,,,,,
242,242,Does the file should be deleted/removed from commons then?,d_06,1,,,,,
243,243,Yes I can.,d_05,1,,,,,
244,244,Is it an alternate account?,d_11,3,,,,,
245,245,Looks like the question got truncated?,d_12,4,,,,,
246,246,Could you please edit it to complete your question?,d_11,3,,,,,
247,247,"@George, will this work in Fedora 15 under the new Gnome 3?",d_11,3,,,,,
248,248,Is it in the repositories?,d_11,3,,,,,
249,249,Can I use a manga image colored by myself?,d_11,3,,,,,
250,250,"There won't be any problems with the lisense, right?",0,0,,,,,
251,251,@delnan: thank you.,d_110,7,,,,,
252,252,Do these work under `Ubuntu`?,0,0,,,,,
253,253,It looks like you tried to file a checkuser case but you never created the subpage.,0,0,,,,,
254,254,Do you need some help?,d_12,4,,,,,
255,255,"also, did you read through the documentation of add_meta_box
 at http://codex.wordpress.org/Function_Reference/add_meta_box ?",d_12,4,,,,,
256,256,"@Gnovice: I thought about that, but wasn't sure.",0,0,,,,,
257,257,"I remember wondering the same thing a long time ago, so I figured, ""why not""?",d_013,2,,,,,
258,258,This is a great way to deal with external links.,d_02,1,,,,,
259,259,Wondering if we should look at applying it almost universally for medical pages?,d_17,6,,,,,
260,260,Could you please describe in more detail what do you mean?,d_12,4,,,,,
261,261,Perhaps include a drawing?,d_12,4,,,,,
262,262,Perhaps showing some more of your code would help us help you?,d_12,4,,,,,
263,263,Also what the file hierarchy look like for relevant files?,d_12,4,,,,,
264,264,"""Google says they generally don't like pages with more than 100 links on them"" -- out of curiosity what is your source on this?",d_12,4,,,,,
265,265,can you cite it in the post in a hyperlink?,d_11,3,,,,,
266,266,Thank you so much!,d_110,7,,,,,
267,267,"I hope it's allright if I move it to my front page, at least when the talk has to be archived?",d_12,4,,,,,
268,268,you need to clarify the question.,0,0,,,,,
269,269,Are you talking about generating a DC voltage from the PWM?,0,0,,,,,
270,270,"Hi SKS, I saw your post on the discussion on the charts page about Billboard Korea and I clicked the link and the website seems to be up and running but I can't make sense of it.",0,0,,,,,
271,271,Can you have a look at it?,d_11,3,,,,,
272,272,@adatapost great!,d_01,1,,,,,
273,273,"however, do you mean APIs/sites that you can reference from your site (such as Google Analytics), sites where you upload your logs to, or both?",d_12,4,,,,,
274,274,:),0,0,,,,,
275,275,What programming language does this regard?,0,0,,,,,
276,276,"Could you elaborate on ""Get the same parts between""?",d_11,3,,,,,
277,277,This is not a suitable candidate for CSD as it asserts notability.,0,0,,,,,
278,278,May I suggest you consider a <url>?,d_11,3,,,,,
279,279,I don't understand what you're asking.,0,0,,,,,
280,280,Can you give an example of what you mean or are trying to achieve?,d_11,3,,,,,
281,281,"There may not be a lot of situations like this, but there will definitely be some.",0,0,,,,,
282,282,"I was wondering if there is any kind of invisible comment that can be added to the article in these situations so that the report doesn't include it, or if you have any other thoughts about how it might be possible to handle this situation?",d_17,6,,,,,
283,283,I just saw that after I left this message to you.,d_14,5,,,,,
284,284,By speech marks do you mean quotation marks?,d_12,4,,,,,
285,285,More important than how they work is how to shut them down.,0,0,,,,,
286,286,Any tips on what the recipient of such a message should do?,0,0,,,,,
287,287,"Hi there, it looks like the moving editor has added a bunch of references to the talk page supporting the fact Toto is no longer formally referred to as Moorland Totilas.",0,0,,,,,
288,288,Do you think if we added one or more of the refs he's added on the talk page to the article we could move it back?,d_17,6,,,,,
289,289,How does an object type change dynamically?,0,0,,,,,
290,290,Do you have a vehicle base blass and two derived classes: car and bike?,d_12,4,,,,,
291,291,"Multiple editors never occurred to me - I didn't think much about the boxes, and the blocking help page wasn't of much use.",0,0,,,,,
292,292,"Of ""Block anonymous users only <url>, Prevent account creation <url>, Automatically block the last IP address used by this user, and any subsequent addresses they try to edit from <url>,"" which should I have checked?",d_07,1,,,,,
293,293,@mike: Could you edit the title of this question to be more descriptive?,d_11,3,,,,,
294,294,"Maybe something like ""Current flow in batteries?""",d_12,4,,,,,
295,295,Ahhhh... My apologies.,0,0,,,,,
296,296,You wouldn't be using the google toolbar perchance?,d_13,5,,,,,
297,297,"So there's exactly one line in both files per chromosome number, and you want to compare only lines with the same chromosome number?",d_11,3,,,,,
298,298,And do the files contain the same keys?,0,0,,,,,
299,299,question is unclear.,0,0,,,,,
300,300,perhaps including an example will help?,d_12,4,,,,,
301,301,"I have, and they have not responded in one week.",0,0,,,,,
302,302,How long should I give it?,0,0,,,,,
303,303,Do you have any module that changes the menu?,d_12,4,,,,,
304,304,May you provide a list of installed modules?,0,0,,,,,
305,305,think this is too time localised to be on-topic.,0,0,,,,,
306,306,Any other thoughts?,0,0,,,,,
307,307,"Altering the top-level structure, moving elements between top level arrays?",0,0,,,,,
308,308,How does your sort need to function in the higher dimension?,0,0,,,,,
309,309,+1 for Python.,0,0,,,,,
310,310,Maybe consider doing this for some other SE sites?,d_12,4,,,,,
311,311,"Windows, Python 2.6, Cython 0.14, Gcc 4.5.1.",0,0,,,,,
312,312,Could you post your 2d code?,d_11,3,,,,,
313,313,Please clarify something for me.,d_11,3,,,,,
314,314,"Are you getting leaks from the top of the valve itself or from the base, where the stem meets the rubber tube?",0,0,,,,,
315,315,"Hi Steph - this would be a fine article, but its already pretty fleshed out - do you have a specific sub-topic regarding propaganda films that you'd like to write about?",d_12,4,,,,,
316,316,Have you found some research about propaganda films that you'd like to synthesize?,d_12,4,,,,,
317,317,@ime Vidas JSLint is mostly telling me that I am calling functions before they are defined.,0,0,,,,,
318,318,Are these warnings that I should be concerned with?,0,0,,,,,
319,319,I don't get your question to be honest.,d_11,3,,,,,
320,320,Could you clarify it more please?,d_11,3,,,,,
321,321,"Hello Arosboro, and welcome on _Drupal Answers_.",d_04,1,,,,,
322,322,"May you report the code of `vtiger_portal_user_form_validate()`, which I think it is your custom form validation handler?",d_12,4,,,,,
323,323,What is the dynamic range of your camera's sensor (how many bits per pixel)?,0,0,,,,,
324,324,Can you adjust the pixel format of the raw file?,d_11,3,,,,,
325,325,No problem.,0,0,,,,,
326,326,Have you heard anything new about HRE?,d_12,4,,,,,
327,327,"I've never done COBOL before, but this strikes me as strange: `IF POLI-DATE-REQUESTED-S-2 IS NOT = 11 OR 12` Most languages I'm familiar with would parse `foo != 11 or 12` as `(foo != 11) or (12)`.",0,0,,,,,
328,328,Does COBOL really parse the expression as `foo != (11 or 12)`?,0,0,,,,,
329,329,"So, the canvas was causing the move to upper left, but removing the canvas still has one of the classes assuming it knows better where to place images, and it's letting me push them outside the bounds of the control.",d_06,1,,,,,
330,330,Any suggestions?,0,0,,,,,
331,331,From this end it looks like it might be working again.,d_12,4,,,,,
332,332,"Could you try sending something to me via WP, please?",d_11,3,,,,,
333,333,@GoodEnough It's not about other people reading your mail but about giving Google all your data.,0,0,,,,,
334,334,"You now, *Do be evil* (or how was their slogan?",0,0,,,,,
335,335,).,0,0,,,,,
336,336,It would really help the many viewers of this question if you would edit it to be clear without having to follow links.,0,0,,,,,
337,337,And what is DPAPT?,0,0,,,,,
338,338,It ought to show up in the Delphi Window _and_ in DebugView.,0,0,,,,,
339,339,Can you confirm that's happening?,d_11,3,,,,,
340,340,"Well, what does the message say?",d_06,1,,,,,
341,341,It must give some more detail than that *somewhere?,0,0,,,,,
342,342,*,0,0,,,,,
343,343,What language is it?,d_11,3,,,,,
344,344,Can you provide a testcase demonstrating the behaviour?,d_11,3,,,,,
345,345,I've created another question to track the single-speed portion of the question.,0,0,,,,,
346,346,"http://bicycles.stackexchange.com/questions/1983/ Here we can talk about ""why no freewheel?""",d_17,6,,,,,
347,347,I think for #1 for sequential search the number is (n+1)/2.,d_06,1,,,,,
348,348,Is that right?,0,0,,,,,
349,349,I actually posted my comments a couple minutes ago.,d_11,3,,,,,
350,350,"Do you think that explanation works, or do you think it's a good idea I elaborate further?",d_12,4,,,,,
351,351,@Lèse key words here being *supplement their own content*.,0,0,,,,,
352,352,"If ALL the content is copied, what of value or interest is being created, exactly?",d_11,3,,,,,
353,353,What kind of processing will you perform?,d_12,4,,,,,
354,354,Is it just a matter of setting up data structures to model a family tree?,d_14,5,,,,,
355,355,I tried to create a similar map for Canada but couldn't get a usable output from the site you used for the Australia map.,d_12,4,,,,,
356,356,Could you create a Canadian one?,d_11,3,,,,,
357,357,I think the article needs work.,0,0,,,,,
358,358,"For example, I think ""U.S. late 1980s - 1990s"" should after ""Detroit sound.""",d_07,1,,,,,
359,359,"""UK 1990s"" should after ""U.S. late 1980s - 1990s.""",d_07,1,,,,,
360,360,What do you think?,d_12,4,,,,,
361,361,"Well, the problem you linked to is entirely different than what you're describing.",d_06,1,,,,,
362,362,Can you please decide on which one you need help with?,d_11,3,,,,,
